BIASTAR
15
0,14
14,0
2, -1, 2, 2, 2, 2, 2, 2, 2, -1, -1, 2, 2, 2, 2 
2, -1, -1, 2, 2, 2, 2, 2, 2, 2, -1, -1, 2, 9, 2 
2, 2, 2, -1, 2, 2, 2, 2, 2, 2, 2, -1, -1, 2, 2 
2, 2, 3, -1, -1, 2, 2, 2, 2, 2, 2, 2, -1, -1, 2 
2, 2, 3, 2, -1, -1, 2, 2, 2, 2, 2, 2, 2, -1, 2 
2, 2, 3, 2, 2, -1, -1, 2, 2, 2, 2, 2, 2, 9, -1
2, 2, 3, 2, 2, 2, -1, -1, 2, 2, 2, 2, 1, 2, 2 
2, 2, 3, 2, 2, 2, 2, -1, -1, 2, 2, 1, 2, 2, 2 
2, 2, 3, 2, 2, 2, 2, 2, -1, -1, 2, 2, 2, 2, 2 
2, 2, 3, 2, 2, 2, 2, 2, 2, -1, -1, 2, 2, 2, 2 
2, 2, 3, 2, 2, 2, 2, 2, 2, 2, -1, -1, 2, 2, 2 
2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, -1, -1, 2, 2 
2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, -1, -1, 2 
100, 100, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, -1, -1 
2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, -1 
